Year,Album,Song,Text
2000,Razorblade Romance,The 9th Circle (OST),"['Is it so hard to believe the hearts are made to be broken', ""Can't you see that the beauty of love lies in constant times"", ""Don't you want our hearts to be torn wide open"", ""Won't you feel the heaven in our endless cry"", 'Oh at least you could try', 'Let me just to be closer', 'For this one last time', 'Let me fall into your arms', 'It could be alright', ""Don't let us grow any colder"", 'Let me close to your heart', 'Ever amazed how bright are the flames we are burning in', 'Ever smiled of the tragedies we have locked deep inside', ""Aren't you obsessed by our hand was on the verge of beginning"", ""Won't you cherish your fear of life that keeps us alive"", ""Won't you let me be closer"", 'Just to let us be closer', 'oh, my Baby', 'oh', 'You gotta let it closer', 'Baby, let me closer', ""Won't you let it come closer"", 'My Darling', 'Baby, let me close to your heart', 'Baby, let me close to your heart\n']"
2001,Deep Shadows & Brilliant Highlights,Salt In Our Wounds,"['Here we are', 'In the maelstrom of love', 'Waiting for the calm', 'To soothe our hearts', ""And don't know how to stop"", 'Waiting for the war', 'To end it all', 'Love is insane and Baby', 'We are too', ""It's our hearts little grave"", 'And the salt in our wounds', 'So we are too', 'Right back where we began', 'Waiting for sweet love', 'With open arms', 'Just like before', 'Waiting for the warmth', 'Of that tender storm', 'And the salt in our wounds\n']"
2001,Deep Shadows & Brilliant Highlights,Heartache Every Moment,"['From lashes to ashes ', 'And from lust to dust ', 'In your sweetest torment ', ""I'm lost "", 'And no heaven can help us ', 'Ready, willing and able ', 'To lose it all ', 'For a kiss so fatal ', 'And so warm ', ""Oh it's heartache every moment "", ""From the start 'til the end "", ""It's heartache every moment "", 'With you ', 'Deeper into our heavenly suffering ', 'Our fragile souls are falling ', 'Baby with you ', 'And we sense the danger ', ""But don't wanna give up "", ""'Cause there's no smile of an angel "", 'Without the wrath of god ', 'My darling with you ', 'I am lost ', ""It's heartache every moment with you "", ""That's right\n""]"
2001,Deep Shadows & Brilliant Highlights,Lose You Tonight,"[""Don't run away"", ""I can't live without you"", 'Please stay', 'And I learn to love you right', 'I was waiting for you', 'Waiting for all my life', ""And I've been crying for you"", 'Dying for you all this time', ""And I'm not gonna"", 'Lose you tonight', ""No, I ain't gonna lose you tonight"", 'I never wanted to hurt you', 'And I learn to treat you right', ""Oh, I can't live without you"", 'I never want adore you', ""I ain't gonna lose you tonight"", 'Lose you tonight\n']"
2001,Deep Shadows & Brilliant Highlights,In Joy And Sorrow,"['Oh girl, we are the same', 'We are young and lost and so afraid', ""There's no cure for the pain"", 'No shelter from the rain', 'All our prayers seem to fail', ""In joy and sorrow, my home's in your arms"", 'In a world so hollow', ""It's breaking my heart"", 'We are strong and blessed and so brave', 'With souls to be saved', 'And faith regained', 'All our tears wiped away', '(My home is in your arms)', ""(And it's breaking my heart)"", ""It's breaking my heart\n""]"
2001,Deep Shadows & Brilliant Highlights,Pretending,"['Love is a flame that can be tamed', 'And though we are its willing prey, my darling', 'We are not the ones to blame', 'Trust is a word all lovers know', 'The glorious art of staining souls, my darling', 'The more we have the more we want', 'And the more it hurts our hearts, my baby', 'It always ends up in tears', 'So keep on pretending', 'Our heaven is worth the waiting', ""Keep on pretending it's alright"", 'It will be the end of our craving', 'Keep on pretending', ""It's alright"", 'When doubts arise the game begins', 'The one we will never win, my baby', 'It always ends up in tears...', 'We are not the ones to blame\n']"
2001,Deep Shadows & Brilliant Highlights,Close To The Flame,"['The kiss sweetest ', 'And touch so warm ', 'The smile kindest ', 'In this world so cold and strong ', 'So close to the flame ', 'Burning brightly ', ""It won't fade away "", 'And leave us lonely ', 'The arms safest ', 'And words, so good ', 'The faith deepest ', 'In this world so cold and cruel ', 'And leave us lonely\n']"
2001,Deep Shadows & Brilliant Highlights,You Are The One,"[""No I won't surrender"", 'At any cost', ""You're something so sweet and tender"", 'From my heart', ""Yes I've done my evil"", ""I've done my good"", 'Just believe me honey', ""I won't let go of you"", 'You are the one', ""And there's no regrets at all"", ""We've had our share of misfortune"", ""We've had our blues"", 'And God is not on our side', ""Yes it's true"", 'We keep forgetting baby', 'The beauty of us two', 'There is no one who can take that away', 'From me and you', ""And there's no regrets at all\n""]"
2001,Deep Shadows & Brilliant Highlights,Please Don't Let It Go,"[""We're drifting apart "", 'But I want you to know ', 'Wherever you are I belong ', ""Love's singing our song "", 'But we fail to sing along ', 'Wherever you go I will follow ', ""So please don't let it "", ""Please don't let it go "", ""'Cause if you won't let it I won't let it go "", ""'Cause if you don't let it I won't let it go "", 'You try to be strong ', ""But you're always so alone "", 'Whatever I do I do it wrong ', 'Death sings our song ', 'And we eagerly sing along ', 'Whatever you do I adore ', 'I adore ', 'Oh no ', ""Don't let go of life "", 'Let go of love ', 'Let go of all we have ', ""So don't let go of trust "", 'Let go of lust ', 'Let go of all we share ', 'All we share ', 'Hey my darling ', ""Please don't let it "", 'Oh no\n']"
2001,Deep Shadows & Brilliant Highlights,BeautifuL,"['Just one look into your eyes ', ""One look and I'm crying "", ""'Cause you're so beautiful "", ""Just one kiss and I'm alive "", ""One kiss and I'm ready to die "", ""Just one touch and I'm on fire "", ""One touch and I'm crying "", ""Just one smile and I'm wild "", ""One smile and I'm ready to die "", ""Oh and you're so beautiful "", 'My darling ', ""Oh you're so beautiful "", ""You're so beautiful "", 'Oh my baby ', ""And you're so beautiful "", 'Oh my darling ', ""And you're so beautiful\n""]"
